名称 | 价格(元) | 涨跌幅
尚未添加自选, 点击进入
我的自选股>>
以下为热门股票
&nbsp;股市必察 | &nbsp;每日提示
・公司快报 | &nbsp;公司快报 | &nbsp;新股上市 | &nbsp;龙虎榜单
&nbsp;每日咨询
&nbsp;股市直播 | &nbsp;股市雷达
&nbsp;公司简介 | &nbsp;股本结构
&nbsp;主要股东 | &nbsp;流通股东
&nbsp;基金持股 | &nbsp;公司高管
&nbsp;公司章程 | &nbsp;相关资料
&nbsp;资金流向 | &nbsp;个股体检
&nbsp;风险评价 | &nbsp;价值估值
&nbsp;分时走势 | &nbsp;行情中心
&nbsp;大单追踪 | &nbsp;成交明细
&nbsp;分价图表 | &nbsp;持仓分析
&nbsp;分红配股 | &nbsp;新股发行
&nbsp;增发情况 | &nbsp;招股说明
&nbsp;上市公告
&nbsp;业绩预告
&nbsp;利润表
&nbsp;资产负债表
&nbsp;现金流量表
&nbsp;财务附注
&nbsp;业绩预告
&nbsp;坏帐准备
&nbsp;文字附注
&nbsp;应交增值税款
&nbsp;股东权益增减
&nbsp;资产减值准备
&nbsp;关键指标 | &nbsp;杜邦分析
&nbsp;所属行业 | &nbsp;所属指数
&nbsp;相关证券 | &nbsp;基本资料
&nbsp;所属系别 | &nbsp;所属板块
&nbsp;公司公告 | &nbsp;年度报告
&nbsp;中期报告 | &nbsp;第一季度
&nbsp;第三季度
&nbsp;控股参股 | &nbsp;参股券商
&nbsp;资产托管 | &nbsp;资产置换
&nbsp;资产交易 | &nbsp;资产剥离
&nbsp;股东大会
&nbsp;关联交易
&nbsp;违规记录
&nbsp;诉讼仲裁
&nbsp;对外担保
&nbsp;相关资讯
&nbsp;智能选股 | &nbsp;财务对比
&nbsp;数据浏览
&nbsp;行情中心
&nbsp;新浪股道
法拉电子(600563)  财务指标
报告日期 | 2024-12-31 | 2024-09-30 | 2024-06-30 | 2024-03-31
净资产收益率(%) | 19.65 | 15.42 | 10.19 | 4.39
加权净资产收益率(%) | 21.13 | 15.94 | 10.22 | 4.48
扣除非经常性损益后的净利润(元) | 1023830576.68 | 751584138.07 | 460267789.76 | 203175582.81
成长能力
主营业务收入增长率(%) | 22.9898 | 19.767 | 7.3765 | 5.4796
净利润增长率(%) | 1.4148 | 8.0151 | -2.1627 | -6.6603
净资产增长率(%) | 12.478 | 14.3019 | 13.4177 | 13.7008
总资产增长率(%) | 23.9785 | 24.7171 | 17.8717 | 13.1433
营运能力
应收账款周转率(次) | 3.356 | 2.4782 | 1.6782 | 0.8388
应收账款周转天数(天) | 107.2706 | 108.95 | 107.2578 | 107.2961
存货周转天数(天) | 83.4531 | 82.9748 | 87.1502 | 88.9856
存货周转率(次) | 4.3138 | 3.254 | 2.0654 | 1.0114
固定资产周转率(次) | 3.2074 | -- | 1.4148 | --
总资产周转率(次) | 0.6757 | 0.5067 | 0.3274 | 0.1527
总资产周转天数(天) | 532.7808 | 532.8597 | 549.7862 | 589.391
流动资产周转率(次) | 1.0912 | 0.8343 | 0.5654 | 0.2736
流动资产周转天数(天) | 329.912 | 323.6246 | 318.3587 | 328.9474
股东权益周转率(次) | 0.9446 | 0.6993 | 0.4437 | 0.2016
偿债及资本结构
流动比率 | 2.3473 | 2.4427 | 2.5025 | 2.7227
速动比率 | 1.993 | 2.0769 | 2.0836 | 2.2674
现金比率(%) | 55.4997 | 50.6782 | 51.5136 | 28.5496
利息支付倍数 | -42883.2673 | -21527.7361 | -27012.4761 | 13254.3534
长期债务与营运资金比率(%) | -- | -- | -- | --
股东权益比率(%) | 68.4121 | 69.9105 | 72.2342 | 76.049
长期负债比率(%) | -- | -- | -- | --
股东权益与固定资产比率(%) | 359.8157 | -- | 318.3596 | --
负债与所有者权益比率(%) | 46.1729 | 43.0399 | 38.4385 | 31.4942
长期资产与长期资金比率(%) | -- | -- | -- | --
资本化比率(%) | -- | -- | -- | --
固定资产净值率(%) | 52.01 | -- | 54.1865 | --
资本固定化比率(%) | 46.7156 | 48.2209 | 53.5762 | 56.2726
产权比率(%) | 42.3716 | 38.817 | 33.9105 | 27.6276
清算价值比率(%) | -- | -- | -- | --
固定资产比重(%) | 19.0131 | -- | 22.6895 | --
资产负债率(%) | 31.5879 | 30.0895 | 27.7658 | 23.951
总资产(元) | 7817751349.84 | 7267506272.79 | 6628388921.58 | 6535974639.89
现金流量
经营现金净流量对销售收入比率(%) | 0.2637 | 0.2774 | 0.3133 | -0.0001
资产的经营现金流量回报率(%) | 0.161 | 0.1313 | 0.1001 | 0
经营现金净流量与净利润的比率(%) | 1.2072 | 1.231 | 1.3743 | -0.0003
经营现金净流量对负债比率(%) | 0.5096 | 0.4363 | 0.3604 | 0
现金流量比率(%) | 55.5272 | 48.3792 | 40.849 | -0.005
其他指标
短期股票投资(元) | -- | -- | -- | --
短期债券投资(元) | -- | -- | -- | --
短期其它经营性投资(元) | -- | -- | -- | --
长期股票投资(元) | -- | -- | -- | --
长期债券投资(元) | -- | -- | -- | --
长期其它经营性投资(元) | -- | -- | -- | --
1年以内应收帐款(元) | -- | -- | -- | --
1-2年以内应收帐款(元) | 3247406.64 | -- | 7945924.24 | --
2-3年以内应收帐款(元) | 2336189.78 | -- | 1260590.29 | --
3年以内应收帐款(元) | 956137.19 | -- | 618223.45 | --
1年以内预付货款(元) | -- | -- | -- | --
1-2年以内预付货款(元) | -- | -- | -- | --
2-3年以内预付货款(元) | -- | -- | -- | --
3年以内预付货款(元) | -- | -- | -- | --
1年以内其它应收款(元) | -- | -- | -- | --
1-2年以内其它应收款(元) | 8935.39 | -- | 1161999.99 | --
2-3年以内其它应收款(元) | -- | -- | 212500 | --
3年以内其它应收款(元) | 190000 | -- | 80000 | --
↑返回页顶↑
